case #,charge_description,charge_status,bail_amount,bond_type,court_date,court_time,court_of_jurisdiction
1347759,probation_violation_district_36_(dwi),,.00,nobd,,,
18ba-cr03952-01,fojo/rob1st/_aca/_asslt_1st/burg_1st/,,"400,000.00",cash,04/20/2020,13:30,d01
20ba-cr01509-01,domestic_assault_1st_degree_-_1st_offense,,.00,nobd,05/04/2020,13:30,
20ba-cr01509-01,endangering_the_welfare_of_a_child_creating_substantial_risk,,.00,nobd,05/04/2020,13:30,
20ba-cr01509-01,endangering_the_welfare_of_a_child_creating_substantial_risk,,.00,nobd,05/04/2020,13:30,
20ba-cr01509-01,endangering_the_welfare_of_a_child_creating_substantial_risk,,.00,nobd,05/04/2020,13:30,
20ba-cr01509-01,armed_criminal_action,,.00,nobd,05/04/2020,13:30,
17ba-cr02624-01,prob_viol:_dwr,,"5,000.00",c/s,05/04/2020,09:00,d03
17ba-cr03462-01,prob_viol:_kidnapping_2nd,,"5,000.00",c/s,05/04/2020,09:00,d03
20ba-cr00800,assault_1st_degree_or_attempt,,.00,nobd,05/13/2020,13:30,d11
20ba-cr00800,armed_criminal_action,,.00,nobd,05/13/2020,13:30,d11
20ba-cr01453,robbery_-_1st_degree,,"5,000.00",c/s,07/08/2020,13:30,
19ba-cr05498-01,property_damage_2nd_degree,,"25,000.00",cash,01/21/2020,13:30,
19ba-cr05498,stalking_-_1st_degree_-_1st_offense,,"25,000.00",cash,01/23/2020,09:00,
19ba-cr05498-01,property_damage_1st_degree,,"50,000.00",cash,01/21/2020,13:30,
19ba-cr05499-01,stalking_-_1st_degree_-_2nd_or_subsequent_offense,,"50,000.00",cash,01/21/2020,13:30,
19ba-cr05499-01,violation_of_order_of_protection_for_adult_-_2nd_ofns,,"50,000.00",cash,01/21/2020,13:30,
13ba-cr03367-01,"prob_viol:_aggravated_stalking,_viol_order_protection",,"5,000.00",c/s,03/20/2020,09:00,d04
